"ItemID","Description","Bottles_Per_Case","Cost_Amount_Per_Bottle","Total_Cost","Week1","Week2","Week3","Week4","Week5","Week6","Week7","Week8","Week9","Week10","Week11","Week12","Week13","Week14","Week15","Week16","Week17","Week18","Week19","Week20","Week21","Week22","Week23","Week24","Week25","Week26","Week27","Week28","Week29","Week30","Week31","Week32","Week33","Week34","Week35","Week36","Week37","Week38","Week39","Week40","Week41","Week42","Week43","Week44","Week45","Week46","Week47","Week48","Week49","Week50","Week51","Week52","Week53","Grand_Total"
13860,"CUTWATER TROPICAL TIKI RUM MAI TAI 6/4 CAN",24,3.2475,77.94,16,8,8,8,16,28,8,12,4,16,8,12,20,8,8,16,0,16,8,12,24,16,28,8,28,16,24,20,16,16,12,36,28,8,24,16,20,8,24,8,8,12,12,16,4,4,8,4,8,12,12,8,8,755
89612,"99 SCHNAPPS BLUE RASPBERRIES - 50ML",120,1.09,130.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,28,26,21,45,36,47,57,47,29,2,0,0,0,6,21,15,14,12,13,21,14,5,0,18,14,15,13,21,14,20,17,17,13,14,36,27,12,844
24090,"JAMESON IRISH WHISKEY - 1L",12,45.99,551.88,6,12,12,23,28,10,27,14,12,14,22,23,13,23,8,12,12,7,17,9,24,19,15,23,14,14,28,8,5,5,25,3,4,5,5,9,10,10,8,6,5,11,11,13,6,13,12,24,11,14,22,19,13,776
50105,"CAMPARI APERITIVO - 750ML",12,33.99,407.88,4,17,17,15,10,17,15,8,14,10,18,15,13,14,5,23,9,18,12,12,9,19,18,20,12,27,15,18,9,17,10,10,10,16,10,21,9,12,6,8,6,12,8,10,17,18,17,32,10,15,23,15,11,782
12769,"EVAN WILLIAMS BLACK SOUR MASH 7YR - 1.75L",6,27.99,167.94,11,14,14,15,21,6,8,11,18,24,12,12,10,12,12,8,11,20,8,18,11,15,18,12,12,15,4,7,8,10,12,16,12,12,14,14,19,15,23,7,17,10,13,15,20,16,24,24,12,15,8,8,4,741
93238,"SAM ADAMS SUMMER ALE 4/6 LN - 12OZ",24,1.831666667,43.960000008,0,0,0,0,0,0,0,0,0,0,0,0,0,30,42,78,36,48,24,54,0,0,0,78,12,48,54,42,24,30,54,18,12,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,740
27545,"JOHNNIE WALKER RED - 750ML",12,21.99,263.88,18,15,15,14,20,13,11,9,15,12,14,13,16,16,15,10,11,13,17,17,15,16,17,22,19,11,12,12,6,11,15,13,11,18,15,17,9,11,12,9,8,16,10,7,11,17,14,15,9,13,17,22,6,754
40231,"E AND J BRANDY VSOP - 200ML",24,3.99,95.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
30949,"DOGFISH HEAD HAZY SQUALL 4/6 CAN",24,1.998333333,47.959999992,18,12,12,6,6,18,6,6,12,6,6,12,6,18,12,12,0,24,0,18,6,24,12,12,18,12,30,12,18,48,6,30,18,12,24,18,18,0,6,18,0,24,12,12,12,6,12,18,6,18,12,12,0,722
251040,"YUKON JACK HONEY LIQUEUR - 50ML",120,1.09,130.8,22,4,4,8,2,4,11,12,32,4,11,12,2,4,15,0,6,6,17,13,5,6,10,15,9,0,8,13,20,20,18,17,22,10,26,0,0,0,40,26,7,35,0,0,0,6,46,39,29,29,40,12,3,821
70488,"BOWMANS PET VODKA - 200ML",48,2.99,143.52,14,17,17,7,10,36,6,5,14,17,9,11,31,18,11,14,7,18,24,14,17,18,11,19,16,6,0,0,0,6,5,16,15,19,14,26,14,4,5,9,23,12,15,28,24,19,14,11,6,10,15,6,0,754
88137,"HEAVY SEAS LOOSE CANNON 4/6NR - 12OZ",24,2.165,51.96,0,12,12,0,30,18,24,18,6,12,18,12,30,24,18,0,6,18,6,12,0,36,6,30,6,6,12,12,6,0,12,18,12,12,12,12,6,18,12,12,6,0,24,24,24,24,24,0,0,18,36,0,0,722
30912,"HEINEKEN SILVER 2/12 NR",24,1.749166667,41.980000008,12,12,12,0,36,12,24,48,0,12,12,24,12,0,12,12,24,24,24,24,36,24,0,36,12,0,12,12,36,0,0,12,0,12,0,24,0,0,0,12,0,60,12,0,0,0,0,12,24,0,0,24,0,722
65730,"ABSOLUT VODKA - CITRON - 50ML",120,2.59,310.8,11,17,17,10,4,12,9,15,6,6,27,28,34,18,18,12,22,23,15,4,18,23,8,20,4,8,2,20,16,19,20,18,22,34,10,16,29,32,16,15,14,20,6,0,0,0,0,0,0,0,0,0,4,825
