"ItemID","Description","Bottles_Per_Case","Cost_Amount_Per_Bottle","Total_Cost","Week1","Week2","Week3","Week4","Week5","Week6","Week7","Week8","Week9","Week10","Week11","Week12","Week13","Week14","Week15","Week16","Week17","Week18","Week19","Week20","Week21","Week22","Week23","Week24","Week25","Week26","Week27","Week28","Week29","Week30","Week31","Week32","Week33","Week34","Week35","Week36","Week37","Week38","Week39","Week40","Week41","Week42","Week43","Week44","Week45","Week46","Week47","Week48","Week49","Week50","Week51","Week52","Week53","Grand_Total"
35327,"GILBEY'S VODKA - 750ML",12,6.99,83.88,15,6,0,0,10,10,4,0,0,7,4,3,8,10,10,6,9,2,3,9,11,8,1,11,6,9,9,15,3,6,4,8,6,25,14,11,7,4,11,2,7,8,2,7,11,19,22,7,10,5,1,6,1,412
96172,"AMSTEL LIGHT 4/6 NR - 12OZ",24,1.831666667,43.960000008,0,0,18,6,0,12,12,0,0,0,0,12,6,6,6,6,0,0,6,6,0,12,12,6,18,0,12,0,6,0,12,12,0,6,0,6,6,12,0,18,0,18,0,36,6,18,6,6,6,6,12,36,6,416
241464,"99 SCHNAPPS ROOT BEER - 50ML",120,1.09,130.8,0,0,0,10,15,21,8,33,22,33,17,25,7,16,9,5,6,4,1,6,1,4,5,6,5,1,17,7,6,6,4,9,3,4,3,12,2,1,1,3,2,1,7,3,9,4,0,1,5,1,1,11,5,509
89618,"99 SCHNAPPS PINK LEMONADE - 50ML",120,1.09,130.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,25,17,22,21,16,18,19,15,5,9,11,11,10,0,5,12,11,15,10,10,17,12,14,6,5,23,6,8,6,6,8,2,5,506
69545,"7 LOCKS PAINT BRANCH BOHEMIAN PILSNER 4/6 CANS",24,2.331666667,55.960000008,12,0,0,18,6,12,6,0,6,12,0,12,12,0,12,0,24,0,0,12,12,0,6,6,6,6,0,36,24,12,0,0,6,6,0,12,18,0,0,0,12,6,0,12,6,6,6,12,6,0,6,18,0,410
50730,"DOGFISH HEAD (SUMMER) VP 2/12PK CAN",24,1.749166667,41.980000008,0,0,0,0,0,48,24,0,0,0,0,0,0,0,36,72,12,36,36,24,36,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,410
251020,"PLATINUM 7X VODKA - 50ML",120,1.09,130.8,5,2,14,8,15,36,8,21,5,0,0,0,5,10,9,6,7,9,14,8,0,12,6,6,5,6,3,10,9,5,13,7,2,16,9,5,11,9,2,0,6,12,8,10,0,0,0,0,6,4,9,4,2,500
50105,"CAMPARI APERITIVO - 750ML",12,33.99,407.88,1,2,7,8,11,4,5,9,10,9,5,7,9,6,4,7,7,7,4,9,6,5,5,9,9,7,4,8,3,4,8,7,5,5,8,10,9,13,10,4,6,11,7,13,12,8,7,10,3,7,4,7,9,420
95745,"DOGFISH HEAD 60 MIN IPA 4/6 NR - 12OZ",24,1.998333333,47.959999992,6,0,6,6,0,6,6,0,12,6,18,0,6,0,18,0,12,24,0,54,6,0,6,12,0,12,36,6,0,0,12,18,6,0,12,6,0,0,6,0,0,0,6,12,6,0,12,6,6,6,0,0,0,398
41254,"HENNESSY COGNAC VS - 750ML",12,39.99,479.88,18,6,5,6,11,2,5,6,12,7,2,1,2,4,7,12,7,6,12,11,20,7,7,9,8,8,7,4,4,17,5,3,9,8,9,10,8,7,6,10,8,7,7,8,7,9,4,4,1,3,4,2,0,424
28602,"DC BRAU PILS 4/6 CAN 12OZ",24,1.831666667,43.960000008,0,0,0,18,12,6,0,6,0,0,7,2,1,0,6,0,36,0,18,1,6,12,12,12,0,6,12,6,0,6,12,6,18,12,6,0,0,12,0,6,12,12,6,0,0,0,6,18,12,6,6,24,12,397
23320,"SIERRA NEVADA TORPEDO EXTRA IPA 4/6 NR - 12OZ",24,1.800833333,43.219999992,6,6,6,6,6,6,0,12,12,6,12,0,6,0,0,6,6,6,18,6,12,6,6,12,6,6,12,0,0,6,2,12,1,6,18,12,31,18,1,6,0,18,6,0,6,6,0,18,0,6,0,6,6,397
76293,"NEW AMSTERDAM VODKA - GRAPEFRUIT - 50ML",120,1.09,130.8,0,0,0,3,1,10,15,2,13,5,6,0,0,4,7,10,18,4,11,1,2,6,11,9,5,4,3,1,13,6,3,8,19,10,3,0,6,20,4,20,4,0,7,7,14,3,9,23,10,4,22,1,1,489
71764,"HIGH NOON SUN SIPS GRAPEFRUIT - RTD - 355ML - 6/4PK",24,2.7475,65.94,0,8,0,0,4,12,0,8,4,12,4,12,20,4,4,8,0,8,8,4,12,8,4,0,12,12,24,0,8,4,4,12,16,4,4,8,16,8,0,12,0,16,0,16,4,4,8,4,8,0,16,4,0,395
241456,"99 SCHNAPPS GRAPE - 50ML",120,1.09,130.8,0,0,0,2,8,9,10,11,11,4,14,7,20,5,16,5,15,16,21,14,6,8,5,10,19,7,6,14,14,7,6,5,6,2,7,6,7,4,12,9,3,5,4,1,0,0,0,0,1,0,1,0,1,485
322463,"CASAMIGOS TEQUILA - REPOSADO - 750ML",6,52.99,317.94,19,5,10,17,7,4,3,11,11,5,4,0,2,2,6,9,7,2,12,3,15,9,7,10,3,6,3,9,6,7,19,4,6,8,3,3,11,17,5,8,1,0,3,17,8,2,3,10,9,3,3,3,3,422
77762,"DOGFISH HEAD (FALL)  VP 2/12 CN",24,1.749166667,41.980000008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,36,36,12,36,24,24,12,0,36,36,12,12,48,0,0,0,0,0,0,386
60392,"ATLAS BLOOD ORANGE GOSE 4/6 CANS",24,2.165,51.96,0,0,0,6,0,0,6,0,6,0,0,0,0,6,0,6,24,0,0,0,6,6,12,12,6,42,0,6,6,24,0,12,6,6,0,0,12,6,18,18,6,12,6,12,0,6,6,30,0,6,0,12,6,380
25407,"NEW BELGIUM VOODOO RANGER IMPERIAL IPA 4/6 NR",24,2.165,51.96,0,12,6,6,0,12,0,6,12,0,0,12,12,6,6,6,12,12,0,0,12,12,0,0,12,6,12,0,6,12,18,6,18,12,6,6,12,12,12,6,12,0,6,6,12,0,0,6,6,0,0,6,0,380
16726,"DENIZENS GEORGIA AVE. SOUR 4/6 CANS",24,2.165,51.96,0,0,0,0,0,0,0,0,0,0,0,0,12,0,6,6,12,6,0,6,12,36,6,0,6,0,6,6,6,0,18,12,0,0,18,12,12,18,0,36,6,24,6,6,12,6,12,12,6,6,6,0,0,380
73062,"JOSE CUERVO SILVER TEQUILA -FLASK-375ML",24,12.99,311.76,2,7,14,4,6,9,9,0,0,4,5,3,5,5,6,3,7,8,7,7,6,6,3,3,6,12,9,11,5,10,12,6,5,10,3,1,9,11,11,7,7,5,7,2,10,8,15,5,8,8,12,5,0,386
