"ItemID","Description","Bottles_Per_Case","Cost_Amount_Per_Bottle","Total_Cost","Week1","Week2","Week3","Week4","Week5","Week6","Week7","Week8","Week9","Week10","Week11","Week12","Week13","Week14","Week15","Week16","Week17","Week18","Week19","Week20","Week21","Week22","Week23","Week24","Week25","Week26","Week27","Week28","Week29","Week30","Week31","Week32","Week33","Week34","Week35","Week36","Week37","Week38","Week39","Week40","Week41","Week42","Week43","Week44","Week45","Week46","Week47","Week48","Week49","Week50","Week51","Week52","Week53","Grand_Total"
45049,"SUTTER HOME MOSCATO - 187ML",24,2.99,71.76,0,4,6,0,4,0,0,0,5,6,0,0,8,2,2,6,1,4,8,6,0,2,2,11,0,0,9,19,5,12,7,5,7,0,8,0,0,0,0,4,21,4,3,3,3,12,6,14,7,9,4,8,2,276
84924,"APOTHIC  CAL CRUSH RED BL - 750ML",12,12.99,155.88,5,3,9,5,5,8,11,4,12,4,5,6,4,10,7,6,5,4,6,4,5,0,3,3,2,1,7,5,1,2,7,7,1,3,2,4,4,4,5,11,5,2,1,2,1,2,2,8,9,8,3,4,0,272
167857,"SCOTTY'S VODKA 375ML",24,6.99,167.76,4,2,5,2,8,9,9,5,6,11,9,2,4,0,2,7,5,3,4,1,4,2,5,3,2,3,3,7,2,2,4,4,2,3,3,2,1,2,6,0,1,3,6,9,7,12,8,6,5,9,10,7,5,277
241466,"99 SCHNAPPS APPLE - 50ML",120,1.09,130.8,3,2,1,0,0,0,2,2,6,3,1,3,11,4,15,2,4,6,4,7,4,9,1,2,8,1,1,8,2,4,3,8,2,3,5,6,9,3,3,1,5,7,8,2,3,18,3,2,9,18,2,8,0,365
81756,"BAREFOOT CEL MERLOT - 187ML",24,1.99,47.76,0,6,0,8,8,0,0,4,9,0,5,8,12,8,1,16,8,3,4,4,9,8,12,5,18,13,8,8,0,8,0,0,0,0,2,0,8,0,4,0,0,1,5,4,1,8,0,1,8,8,0,0,0,269
49028,"FIREBALL CINNAMON WHISKY - 375ML",24,7.99,191.76,6,4,0,6,4,3,6,5,4,7,3,6,5,4,8,9,13,10,5,8,3,2,4,1,1,2,2,6,3,1,3,5,2,3,10,2,1,3,4,4,6,1,3,4,4,6,7,3,7,6,7,6,5,275
84174,"SUTTER HOME WH/ZIN - 187ML",24,2.99,71.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27
348402,"SVEDKA VODKA - 50ML",120,0.99,118.8,2,2,0,4,1,0,4,0,5,0,1,0,3,3,7,0,3,0,0,1,10,16,9,4,1,2,1,0,6,10,3,8,4,6,3,1,0,6,13,6,8,3,2,6,0,8,3,0,21,15,11,3,16,362
89331,"FIREBALL CINN WHISKY X-MAS GIFT BOX 8/15PK - 50ML",120,1.09,130.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,45,0,75,30,0,15,45,0,0,361
66494,"SAM ADAMS WICKED VARIETY 2/12 CN",24,1.749166667,41.980000008,0,0,24,12,0,0,24,0,0,24,0,24,0,0,12,0,0,24,12,12,0,24,0,12,0,24,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,266
71991,"HIGH NOON SUN SIPS SNOWBIRD 8 PK  - RTD",24,2.49875,59.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
76297,"NEW AMSTERDAM VODKA - 200ML",24,4.99,119.76,4,3,3,12,1,6,9,4,5,0,0,3,5,5,7,7,7,4,7,3,3,1,2,5,7,6,4,13,7,11,7,7,5,4,9,6,4,1,3,3,1,0,4,3,5,4,3,4,3,4,3,2,0,268
35254,"SMIRNOFF VODKA - 1.75L",6,23.99,143.94,10,7,4,10,5,3,7,3,4,5,4,2,3,6,8,10,4,7,2,3,2,2,4,6,5,6,3,7,8,3,3,2,5,4,11,3,5,6,2,4,4,2,4,3,4,4,5,6,1,1,2,4,0,268
47988,"MATUA VALLEY S/BLC - 750ML",12,15.99,191.88,10,2,7,6,3,9,2,2,4,7,5,2,0,1,5,1,1,8,7,6,5,2,8,8,4,3,7,6,3,5,7,1,4,7,3,2,3,3,4,6,5,3,1,2,5,4,2,7,5,2,21,1,0,265
47503,"MENAGE A TROIS RED - 750ML",12,12.99,155.88,2,5,6,3,4,5,7,1,0,3,3,6,8,2,1,0,7,10,4,7,5,3,2,5,7,2,3,6,4,6,7,3,4,2,10,6,1,4,0,4,2,2,7,2,2,5,5,7,7,7,10,10,2,261
241460,"99 SCHNAPPS PEPPERMINT - 50ML",120,1.09,130.8,4,4,0,3,4,3,8,4,4,4,0,0,0,2,2,2,0,14,2,2,6,12,2,5,6,6,2,3,1,0,11,4,12,5,13,12,5,4,13,17,9,8,2,1,0,0,4,0,0,1,8,0,1,356
26637,"DC BRAU PUBLIC PALE ALE 4/6 CANS - 12OZ",24,1.831666667,43.960000008,0,0,0,12,0,0,0,0,6,6,18,0,6,6,0,0,0,12,6,12,12,6,0,0,0,0,6,0,0,6,0,6,0,0,0,18,18,6,6,6,0,6,0,6,12,0,12,18,0,0,0,6,0,260
35289,"SMIRNOFF VODKA - 200ML",48,3.99,191.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52
77136,"TEREMANA BLANCO TEQUILA 750ML",6,33.99,203.94,7,3,0,6,6,1,6,7,6,3,0,4,2,3,2,2,8,6,10,4,3,5,6,3,6,2,9,7,4,3,7,0,17,5,2,3,2,2,2,6,2,6,5,6,1,4,5,5,2,6,4,6,0,272
58279,"JACK DANIELS & COKE ZERO - 4 PK - RTD - 355ML",24,3.2475,77.94,0,4,0,20,0,8,8,0,8,0,4,0,0,16,0,8,0,16,0,16,8,0,20,0,8,8,8,0,0,4,16,0,8,12,0,4,4,0,0,0,0,8,0,4,0,0,0,8,0,0,0,4,0,259
